"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 04 04:40:42 GMT 2025","Mon Aug 04 04:40:42 GMT 2025","491","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:36 GMT 2025","Mon Aug 04 04:40:37 GMT 2025","555","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:30 GMT 2025","Mon Aug 04 04:40:31 GMT 2025","1186","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:19 GMT 2025","Mon Aug 04 04:40:21 GMT 2025","1516","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:37 GMT 2025","Mon Aug 04 04:40:37 GMT 2025","549","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:55 GMT 2025","Mon Aug 04 04:40:56 GMT 2025","841","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:33 GMT 2025","Mon Aug 04 04:40:34 GMT 2025","746","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:45 GMT 2025","Mon Aug 04 04:40:46 GMT 2025","350","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:41 GMT 2025","Mon Aug 04 04:40:41 GMT 2025","348","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:59 GMT 2025","Mon Aug 04 04:40:59 GMT 2025","858","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:38 GMT 2025","Mon Aug 04 04:40:39 GMT 2025","1256","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:19 GMT 2025","Mon Aug 04 04:40:20 GMT 2025","1630","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:24 GMT 2025","Mon Aug 04 04:40:26 GMT 2025","1555","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:50 GMT 2025","Mon Aug 04 04:40:51 GMT 2025","1302","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:53 GMT 2025","Mon Aug 04 04:40:55 GMT 2025","1237","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:38 GMT 2025","Mon Aug 04 04:40:39 GMT 2025","610","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:27 GMT 2025","Mon Aug 04 04:40:28 GMT 2025","1179","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:41 GMT 2025","Mon Aug 04 04:40:42 GMT 2025","1645","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:28 GMT 2025","Mon Aug 04 04:40:30 GMT 2025","1804","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:31 GMT 2025","Mon Aug 04 04:40:32 GMT 2025","591","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:32 GMT 2025","Mon Aug 04 04:40:33 GMT 2025","834","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:36 GMT 2025","Mon Aug 04 04:40:36 GMT 2025","597","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:44 GMT 2025","Mon Aug 04 04:40:45 GMT 2025","1666","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:50 GMT 2025","Mon Aug 04 04:40:52 GMT 2025","1644","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:26 GMT 2025","Mon Aug 04 04:40:27 GMT 2025","1033","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:41 GMT 2025","Mon Aug 04 04:40:42 GMT 2025","810","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:30 GMT 2025","Mon Aug 04 04:40:31 GMT 2025","1475","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 04:40:35 GMT 2025","Mon Aug 04 04:40:36 GMT 2025","1087","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 04:40:51 GMT 2025","Mon Aug 04 04:40:52 GMT 2025","873","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
