"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 05 20:41:05 GMT 2025","Tue Aug 05 20:41:06 GMT 2025","1220","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Tue Aug 05 20:41:08 GMT 2025","Tue Aug 05 20:41:08 GMT 2025","824","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Tue Aug 05 20:41:32 GMT 2025","Tue Aug 05 20:41:34 GMT 2025","1655","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Tue Aug 05 20:41:33 GMT 2025","Tue Aug 05 20:41:33 GMT 2025","862","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Tue Aug 05 20:40:55 GMT 2025","Tue Aug 05 20:40:57 GMT 2025","1395","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Tue Aug 05 20:41:16 GMT 2025","Tue Aug 05 20:41:17 GMT 2025","1026","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Tue Aug 05 20:41:06 GMT 2025","Tue Aug 05 20:41:07 GMT 2025","1074","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Tue Aug 05 20:41:17 GMT 2025","Tue Aug 05 20:41:18 GMT 2025","869","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Tue Aug 05 20:40:56 GMT 2025","Tue Aug 05 20:40:57 GMT 2025","1629","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Tue Aug 05 20:41:22 GMT 2025","Tue Aug 05 20:41:24 GMT 2025","2170","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Tue Aug 05 20:41:14 GMT 2025","Tue Aug 05 20:41:15 GMT 2025","787","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
