"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 04 03:15:39 GMT 2025","Mon Aug 04 03:15:43 GMT 2025","3332","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 03:15:50 GMT 2025","Mon Aug 04 03:15:50 GMT 2025","895","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 03:16:02 GMT 2025","Mon Aug 04 03:16:04 GMT 2025","1994","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 03:15:55 GMT 2025","Mon Aug 04 03:15:56 GMT 2025","513","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 03:15:48 GMT 2025","Mon Aug 04 03:15:49 GMT 2025","1056","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 03:16:06 GMT 2025","Mon Aug 04 03:16:08 GMT 2025","1799","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 03:16:01 GMT 2025","Mon Aug 04 03:16:01 GMT 2025","297","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 03:15:58 GMT 2025","Mon Aug 04 03:15:59 GMT 2025","1609","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 03:15:45 GMT 2025","Mon Aug 04 03:15:46 GMT 2025","1523","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 03:15:51 GMT 2025","Mon Aug 04 03:15:52 GMT 2025","426","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 03:15:43 GMT 2025","Mon Aug 04 03:15:45 GMT 2025","1593","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 03:16:17 GMT 2025","Mon Aug 04 03:16:18 GMT 2025","1341","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 03:16:21 GMT 2025","Mon Aug 04 03:16:23 GMT 2025","1341","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 03:16:10 GMT 2025","Mon Aug 04 03:16:11 GMT 2025","1687","RegisterSuite","RegisterChrome","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 03:15:52 GMT 2025","Mon Aug 04 03:15:53 GMT 2025","529","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 03:16:05 GMT 2025","Mon Aug 04 03:16:07 GMT 2025","1349","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 03:15:46 GMT 2025","Mon Aug 04 03:15:48 GMT 2025","1240","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 03:15:42 GMT 2025","Mon Aug 04 03:15:44 GMT 2025","1999","RegisterSuite","RegisterFirefox","org.example.testng.RegisterTest","org.example.testng.RegisterTest","testRegister","Registro con distintos escenarios","Prueba el registro de usuarios con campos vacíos e incompletos"
"passed","Mon Aug 04 03:15:56 GMT 2025","Mon Aug 04 03:15:57 GMT 2025","541","LoginSuite","LoginFirefox","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
"passed","Mon Aug 04 03:15:39 GMT 2025","Mon Aug 04 03:15:41 GMT 2025","1892","LoginSuite","LoginChrome","org.example.testng.LoginTest","org.example.testng.LoginTest","testLogin","Login con distintos escenarios","Prueba el inicio de sesión con distintos usuarios y contraseñas"
